"auto_id","hisco_45_id","hisco_3_id","hisco_2_id","hisco_1_id","label","description","country_code","preferred"
"35528","20","2","9","3","Material Planning Clerk","Computes quantities of materials required for the production or construction programme of an undertaking, ascertains stocks, schedules deliveries and verifies execution of orders.","","0"
"35529","30","2","9","3","Production Planning Clerk","Prepares or assists in preparing production operations schedules, using data derived from customers' orders and information on production capacity and performance.","","0"
"35530","10","3","9","3","Office Clerk, General","Performs variety of clerical tasks, depending on nature and size of office in which employed.","","0"
"35531","20","3","9","3","Correspondence Clerk","Composes and sends letters and takes other action necessary to deal with the correspondence of private employers, associations, companies or official bodies.","","0"
"35532","30","3","9","3","Personnel Clerk","Keeps employment records of an organisation's personnel.","","0"
"35533","40","3","9","3","Legal Clerk","Carries out specialised clerical tasks in connection with legal matters.","","0"
"35534","50","3","9","3","Insurance Clerk","Carries out specialised tasks incidental to the transaction of life, fire, marine, automobile or other type of insurance.","","0"
"35535","90","3","9","3","Other Correspondence and Reporting Clerks","This group includes correspondence and reporting clerks not elsewhere classified, for example those who write letters and complete forms on behalf of illiterate persons; prepare or revise mailing lists, telephone directories and other lists of names and addresses from letters, cards, vouchers and other sources.","","0"
"35536","10","4","9","3","Receptionist, General","Receives people coming into an establishment, ascertains their wants and directs them accordingly.","","0"
"35537","20","4","9","3","Hotel Receptionist","Receives guests at hotels and similar establishments and performs a variety of services for them on arrival, departure and during their stay.","","0"
"35538","30","4","9","3","Doctor's or Dentist's Receptionist","Receives patient in doctor's or dentist's consulting rooms, makes appointments and keeps records of patients' visits. Dental chairside attendants are classified in 5-99.40.","","0"
"35539","40","4","9","3","Travel Agency Clerk","Prepares itineraries and makes travel and hotel reservations for customers. Workers mainly employed in the routine issuing of travel tickets for cash are classified in 3-31.60.","","0"
"35540","90","4","9","3","Other Receptionists and Travel Agency Clerks","This group includes receptionists and travel agency clerks not elsewhere classified, for example those who receive air travellers at airport, check their tickets and conduct them to aircraft or customs hall; work at an information desk in a department store and answer customers' inquiries concerning the location of particular goods and other matters.","","0"
"35541","20","5","9","3","Library Clerk","Maintains library records relating to the acquisition, issue and return of books and other publications and performs related duties.","","0"
"35542","30","5","9","3","Filing Clerk","Classifies and systematically files papers, documents and other records.","","0"
"35543","20","9","9","3","Statistical Clerk","Compiles statistical records based on routine or special sources of information. Workers devising and conducting statistical inquiries or evaluating results according to principles of statistical analysis are classified in minor group 0-8.","","0"
"35544","30","9","9","3","Coding Clerk (Data-Processing)","Determines appropriate classifications of items of information and converts data into code form for purposes of data-processing operations.","","0"
"35545","40","9","9","3","Proof Reader","Compares printers' proofs with original material and marks errors for correction.","","0"
"35546","50","9","9","3","Office Machine Operator (Reproduction Processes)","Operates office machines which reproduce copies of documents by photographic, photo-offset, multigraph or similar means or which print, on forms and envelopes, addresses and similar brief entries from prepared plates.","","0"
"35547","60","9","9","3","Railway Clerk","Performs a variety of clerical tasks related to railway business.","","0"
"35548","90","9","9","3","Other Clerks","This group includes clerical workers not elsewhere classified, for example those sorting forms or other documents by hand; making a routine inspection of documents and marking them with identification numbers; addressing circulars and envelopes by hand; operating machines which sort documents for filing or collate sets of pages of reproduced documents.","","0"
"35549","20","0","1","4","Working Proprietor (Wholesale Trade)","Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers.","","0"
"35550","25","0","1","4","Working Proprietor (Wholesale or Retail Trade)","Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30).","","0"
"35551","30","0","1","4","Working Proprietor (Retail Trade)","Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use.","","0"
"35552","40","0","1","4","Working Proprietor (Hiring Out)","Conducts a business by hiring services and vehicles.","","0"
"35553","20","2","2","4","Buyer","Buys goods for resale in wholesale and retail trade.","","0"
"35554","30","2","2","4","Purchasing Agent","Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking.","","0"
"35555","20","1","3","4","Technical Salesman","Sells products and services, such as chemical, mechanical, electrical and electronic supplies, using specialised knowledge of the technology of the composition, utilisation and maintenance of the goods or equipment sold.","","0"
"35556","30","1","3","4","Technical Service Adviser","Advises customers on the application, installation and operation of specialised equipment, supplies and services.","","0"
"35557","0","2","3","4","Commercial Traveller or Manufacturer's Agent, Specialisation Unknown","May perform any (but not both) of the occupational activities described in unit group 4-32.","","0"
"35558","20","2","3","4","Commercial Traveller","Solicits orders by personally visiting clients and sells goods to retailers, industrial consumers, institutional and professional establishments or wholesale organisations in an allotted geographical area.","","0"
"35559","30","2","3","4","Manufacturers' Agent","Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products.","","0"
"35560","0","0","4","4","Insurance, Real Estate, Securities or Business Services Salesman or Auctioneer, Specialisation Unknown","May perform any (but not all) occupational activities described in minor group 4-4.","","0"
"35561","0","1","4","4","Insurance, Real Estate or Securities Salesmen, Specialisation Unknown","May perform any (but not all) occupational activities described in unit group 4-41.","","0"
"35562","20","1","4","4","Insurance Salesman","Sells life, accident, endowment, fire, marine and other types of insurance.","","0"
"35563","30","1","4","4","Estate Agent","Sells and leases property, such as building lots, houses, apartments and estates, on a commission basis.","","0"
"35564","40","1","4","4","Stock Broker","Buys or sells stocks and bonds of public or private organisations for customers on a commission basis.","","0"
"35565","90","1","4","4","Other Insurance, Real Estate and Securities Salesmen","This group includes insurance, real estate and securities salesmen not elsewhere classified.","","0"
"35566","20","2","4","4","Business Services Salesman (except Advertising)","Sells one or more business services (except advertising services).","","0"
"35567","30","2","4","4","Advertising Salesman","Sells advertising space in press and periodicals, on poster boards and elsewhere and advertising time on radio and television programmes.","","0"
"35568","20","3","4","4","Auctioneer","Sells by auction various kinds of new or used property and goods, such as real estate, furniture, livestock, farm products and objets d'art.","","0"
