napptitle,nappcode,nappcodenum,hiscocode,hiscocodenum,nappeqhisco,check,comments
Nailer and nail makers,83850,83850,8-39.90,83990,0,0,
Wire makers,83860,83860,7-27.25,72725,0,0,
Other metal workers nec,83890,83890,7-20.00,72000,0,0,
Mechanics,84110,84110,8-41.00,84100,0,0,
Millwrights,84120,84120,8-41.75,84175,0,0,
"Machine makers, builders and fitters",84130,84130,8-41.75,84175,0,0,
Engine and locomotive builders,84140,84140,8-41.00,84100,0,0,
Optical instrument makers and workers (not opticians),84230,84230,8-42.35,84235,0,0,
Bicycle makers,84300,84300,8-49.75,84975,0,0,
Others in machinery,84900,84900,8-49.90,84990,0,0,
Electrical fitters and electrical equipment assemblers,85100,85100,8-51.10,85110,0,0,
Electricians and wiremen,85500,85500,8-55.10,85510,0,0,
"Linesmen: telephone, telegraph and electric",85700,85700,8-57.40,85740,0,0,
Plumbers,87120,87120,8-71.05,87105,0,0,
Pipe fitters,87130,87130,8-71.10,87110,0,0,
Welders,87220,87220,8-72.10,87210,0,0,
"Sheet metal worker, general",87320,87320,8-73.10,87310,0,0,
Structural metal workers,87420,87420,8-74.00,87400,0,0,
Rivetters nec,87430,87430,8-74.62,87462,0,0,
Ship and boat builders,87520,87520,8-74.50,87450,0,0,
Shipwrights and ship joiners,87530,87530,9-54.40,95440,0,0,
ShipÕs carpenters,87540,87540,9-54.55,95455,0,0,
"Block, mast and tackle makers",87550,87550,8-19.90,81990,0,0,
Other ship builders,87590,87590,8-74.50,87450,0,0,
Jewellers,88020,88020,8-80.10,88010,0,0,
Goldsmith,88030,88030,8-80.50,88050,0,0,
Silversmith,88040,88040,8-80.50,88050,0,0,
Working with gems and stones,88050,88050,8-80.90,88090,0,0,
Glass makers,89120,89120,8-93.20,89320,0,0,
Glass bottle makers,89130,89130,8-92.10,89210,0,0,
Brick and tile makers,89300,89300,8-92.42,89242,0,0,
Cement makers,89620,89620,9-74.70,97470,0,0,
Lime burners,89630,89630,7-42.30,74230,0,0,
Clay-based products makers,89700,89700,8-92.00,89200,0,0,
"Paper and paperboard products makers, except boxes",91020,91020,9-10.90,91090,0,0,
Lithographic printers,92200,92200,9-22.50,92250,0,0,
Lithographers,92400,92400,9-24.15,92415,0,0,
Photo-engravers,92500,92500,9-25.10,92510,0,0,
Bookbinders and related workers,92600,92600,9-26.25,92625,0,0,
Textile printers,92800,92800,9-29.50,92950,0,0,
Other printers and related workers,92900,92900,9-29.90,92990,0,0,
"Painters, nfs",93110,93110,9-31.20,93120,0,0,
Other specialised painters nec,93190,93190,9-39.90,93990,0,0,
Decorators,93200,93200,9-31.20,93120,0,0,
Lacquerers and enamellers,93320,93320,9-39.20,93920,0,0,
Japanners,93330,93330,9-39.20,93920,0,0,
Gilders,93400,93400,9-26.90,92690,0,0,
Musical instrument maker nfs,94110,94110,9-41.00,94100,0,0,
Piano maker,94120,94120,9-41.70,94170,0,0,
Piano tuner,94130,94130,9-41.80,94180,0,0,
Organ builder,94140,94140,9-41.60,94160,0,0,
Non-metallic mineral product makers,94300,94300,9-43.90,94390,0,0,
"Other production or related worker, specialisation unknown",94910,94910,9-49.00,94900,0,0,
Toy and doll makers,94940,94940,9-94.90,99490,0,0,
Mason nfs or combined,95110,95110,9-51.90,95190,0,0,
Bricklayers,95120,95120,9-51.35,95135,0,0,
Stone masons,95130,95130,9-51.35,95135,0,0,
Plasterers,95140,95140,9-55.10,95510,0,0,
Paviours,95150,95150,9-51.60,95160,0,0,
Marble mason,95160,95160,9-51.45,95145,0,0,
Cement masons and finishers,95200,95200,9-52.40,95240,0,0,
"Roofer, specialisation unknown",95310,95310,9-53.00,95300,0,0,
Slate and tile roofers,95320,95320,9-35.20,93520,0,0,
Thatchers,95330,95330,9-53.60,95360,0,0,
Carpenter and joiner,95410,95410,9-54.15,95415,0,0,
Carpenters,95420,95420,9-54.10,95410,0,0,
Joiners,95430,95430,9-54.90,95490,0,0,
Scaffolders,95440,95440,9-59.40,95940,0,0,
Pipe coverers and Insulators,95600,95600,9-56.20,95620,0,0,
Glaziers,95700,95700,9-57.20,95720,0,0,
Construction workers nec,95910,95910,9-50.00,95000,0,0,
Paperhangers,95920,95920,9-59.25,95925,0,0,
Whitewashers,95940,95940,5-60.10,56010,0,0,
Demolition workers,95950,95950,9-59.45,95945,0,0,
Engineers (US) nfs,96220,96220,0-39.90,3990,0,0,
Stationary engineers and engine men,96230,96230,9-69.30,96930,0,0,
Stationary firemen and firemen nfs,96240,96240,9-69.10,96910,0,0,
Other stationary engine and related equipment operators,96900,96900,9-69.90,96990,0,0,
Porters,97140,97140,9-71.25,97125,0,0,
Packers,97150,97150,9-71.52,97152,0,0,
Riggers nec or nfs,97210,97210,9-72.05,97205,0,0,
Ship riggers,97220,97220,9-72.30,97230,0,0,
Crane and hoist operators,97300,97300,9-73.15,97315,0,0,
"Navvy, excavator and diggers, nfs",97410,97410,9-74.15,97415,0,0,
"Road builders, workers and labourers",97420,97420,9-74.00,97400,0,0,
"Railway builders, workers and labourers",97430,97430,9-99.10,99910,0,0,
"Waterway and harbour builders, workers and labourers",97440,97440,9-50.00,95000,0,0,
"Other road, railway and related construction labourers",97490,97490,9-74.00,97400,0,0,
Seamen,98120,98120,9-81.35,98135,0,0,
Boatmen and canalmen,98130,98130,9-81.00,98100,0,0,
Ship's engine men,98200,98200,9-82.90,98290,0,0,
Railway/railroad engineers and enginemen,98320,98320,0-24.30,2430,0,0,
Others skilled railway workers,98490,98490,9-89.90,98990,0,0,
"Drivers, nec",98510,98510,9-85.90,98590,0,0,
Drivers (private),98520,98520,9-85.90,98590,0,0,
Delivery men and drivers of goods,98550,98550,9-80.00,98000,0,0,
Drivers (general haulage),98560,98560,9-85.55,98555,0,0,
Carter (agricultural),98562,98562,9-86.20,98620,0,0,
"Teamsters (inc. mine driver, etc.)",98570,98570,9-85.00,98500,0,0,
Lock and gate keepers,98700,98700,9-89.30,98930,0,0,
Lock keepers,98720,98720,9-89.30,98930,0,0,
Gate keepers,98730,98730,9-89.90,98990,0,0,
Other transport equipment operators,98900,98900,9-89.90,98990,0,0,
Labourers nfs,99120,99120,9-99.10,99910,0,0,
Common labourers or general labourers,99130,99130,9-99.10,99910,0,0,
Day labourers (e.g journalier),99140,99140,9-99.20,99920,0,0,
Worker nfs,99150,99150,9-99.00,99900,0,0,
Factory labourers (unspecified),99200,99200,9-99.30,99930,0,0,
Occupational title unclassifiable,99300,99300,-1,-1,0,0,
Assistants nfs,99420,99420,9-99.99,99999,0,0,
Apprentices nfs,99450,99450,9-99.99,99999,0,0,
Ambiguous responses,99500,99500,9-99.99,99999,0,0,
